Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
03N0775.	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2003	23
03N0776	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2003	23
03N0777	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2003	23
03N0778	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2003	23
03N0782	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	2	2003	23
03N0798	IBP-MAPS	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	10	2003	23
05N5299	IBP	USA	MT	Ravalli	47.29	-114.17	Breeding	MAY	31	2005	23
00N5110	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	MAY	19	2000	24
00N5111	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	MAY	19	2000	24
00N5112	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	MAY	19	2000	24
00N5114	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	JUL	2	2000	24
00N5115	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	JUL	2	2000	24
00N5116	GRAHAM TAYLOR	USA	MT	DENTON	47.36	-109.69	Breeding	JUL	2	2000	24
02N8322	Graham Taylor	USA	MT	Denton	47.36	-109.69	Breeding	MAY	30	2002	24
02N8323	Graham Taylor	USA	MT	Denton	47.36	-109.69	Breeding	MAY	30	2002	24
02N8324	Graham Taylor	USA	MT	Denton	47.36	-109.69	Breeding	MAY	30	2002	24
02N8325	Graham Taylor	USA	MT	Denton	47.36	-109.69	Breeding	MAY	30	2002	24
02N8326	Graham Taylor	USA	MT	Denton	47.36	-109.69	Breeding	MAY	30	2002	24
06N31876	Victor Sepulveda	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	6	2006	25
06N31878	Victor Sepulveda	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	6	2006	25
06N31888	Victor Sepulveda	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	6	2006	25
06N31889	Victor Sepulveda	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	6	2006	25
06N35383	Victor Sepulveda	USA	WA	Silverton	48.05	-121.43	Breeding	JUL	25	2006	25
08N15059	IBP	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	5	2008	25
08N15060	IBP	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	5	2008	25
08N15064	IBP	USA	WA	Silverton	48.05	-121.43	Breeding	AUG	5	2008	25
09N17890	Thomas & Marrocoli	USA	WA	Silverton	48.05	-121.43	Breeding	JUN	29	2009	25
09N18315		USA	WA	Silverton	48.05	-121.43	Breeding	JUL	25	2009	25
10N16477	Ron Taylor	USA	WA	Silverton	48.05	-121.43	Breeding	JUL	11	2010	25
10N16478	Ron Taylor	USA	WA	Silverton	48.05	-121.43	Breeding	JUN	19	2010	25
06N7957	John Woodcock	CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	26	2006	26
08N1179		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	24	2008	26
08N1180		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	24	2008	26
08N1181		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	30	2008	26
